Season,Goals_PG,PP_PG,PP_Pct,SA,SV_Pct,GA_Avg,Sh_Pct
2011-12,2.73,3.31,17.31,29.7,0.914,2.54,8.95
2012-13,2.72,3.32,18.22,29,0.912,2.54,9.16
2013-14,2.74,3.27,17.89,30,0.914,2.56,8.91
2014-15,2.73,3.06,18.66,29.8,0.915,2.52,8.91
2015-16,2.71,3.11,18.66,29.6,0.915,2.51,8.98
2016-17,2.77,2.99,19.1,30.1,0.913,2.59,9.02
2017-18,2.97,3.04,20.18,31.8,0.912,2.78,9.19
2018-19,3.01,2.92,19.78,31.3,0.91,2.81,9.48
2019-20,3.02,2.97,20.03,31.3,0.91,2.82,9.48
2020-21,2.94,2.89,19.78,29.8,0.908,2.74,9.67
2021-22,3.14,2.89,20.61,31.4,0.907,2.92,9.81
2022-23,3.18,3.07,21.31,31.1,0.904,2.97,10.07
